id,title,artist,year,genre,style,master_id,release_country,labels,format,rating,have,want,url,image_url
729517,Wave,Patti Smith Group,1979,Rock,New Wave,40246,France,"Arista, Arista","LP, Album",3.77,2169,158,https://www.discogs.com/release/729517-Patti-Smith-Group-Wave,https://i.discogs.com/Ii1hQOnO2w3H0jo6OoOT5owbYf0StDjqkypbMQZ2FyU/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTcyOTUx/Ny0xNDI0MTAyNTAz/LTkzNTQuanBlZw.jpeg
10089154,Speakerboxxx / The Love Below,OutKast,2017,"Electronic, Hip Hop, Funk / Soul, Pop","Conscious, Future Jazz, Funk, Neo Soul, Contemporary R&B, Pop Rap, Bass Music",26106,Europe,"Arista, LaFace Records, Legacy, Sony Music","LP, Album, Reissue",4.5,2685,1298,https://www.discogs.com/release/10089154-OutKast-Speakerboxxx-The-Love-Below,https://i.discogs.com/OZtyXrQ2Su1JQbTlDJaWGxARLpMlXC-H9TnGMP6gLJA/rs:fit/g:sm/q:90/h:593/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDg5/MTU0LTE0OTE0ODc3/MjUtMzg5NS5qcGVn.jpeg
23122910,System Theory EP,Deas,2022,Electronic,Techno,2674628,Italy,Arts White,"12"", 33 ⅓ RPM",4.64,150,55,https://www.discogs.com/release/23122910-Deas-System-Theory-EP,https://i.discogs.com/RA7VKauqOpe3mwSk-hZTuDrvnmpqe_R0oP6omuYKXww/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIzMTIy/OTEwLTE2NTM2OTE0/NDEtNjQ5NC5qcGVn.jpeg
785034,Perles Rares (1989-2002),Assassin (2),2004,Hip Hop,Conscious,36452,France,Assassin Productions,"LP, Compilation, Reissue, Repress",4.47,316,102,https://www.discogs.com/release/785034-Assassin-2-Perles-Rares-1989-2002,https://i.discogs.com/OJlh4vJGjFUWZY-AlE_YiC1YxSMhmcts9I62TKGAqFM/rs:fit/g:sm/q:90/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc4NTAz/NC0xMTYxMDk4MTE5/LmpwZWc.jpeg
5168053,Let Us Fight,Oniris (2),2013,Electronic,Techno,N/A,France,Astropolis Records,"12""",4.0,59,34,https://www.discogs.com/release/5168053-Oniris-2-Let-Us-Fight,https://i.discogs.com/fcrkd94YqIRbtl6EZY-e36tXNzL6YGzm86XOZTl5QoU/rs:fit/g:sm/q:90/h:596/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUxNjgw/NTMtMTQ2MjY5NDI1/NS0zMTg1LmpwZWc.jpeg
4916093,Hope & Despair,Oniris (2),2013,Electronic,Techno,N/A,France,Astropolis Records,"12""",4.58,72,53,https://www.discogs.com/release/4916093-Oniris-2-Hope-Despair,https://i.discogs.com/557gGpviRkBgVQI0Bgw7FDDdOZVmH6cOoejX_w6ON68/rs:fit/g:sm/q:90/h:600/w:598/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ5MTYw/OTMtMTM3OTMzMDMy/Mi03NDI4LmpwZWc.jpeg
5385037,The Wolves,The Driver,2014,Electronic,"Techno, Tech House",668125,France,Astropolis Records,"12"", Limited Edition, Numbered",4.06,114,65,https://www.discogs.com/release/5385037-The-Driver-vs-Electric-Rescue-The-Wolves,https://i.discogs.com/gLftBAYr8G5cG4KFq_H8N-alAwP5Gf_Qw996pfIe5d8/rs:fit/g:sm/q:90/h:600/w:591/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUzODUw/MzctMTQwODY3ODAz/NC0zMTgyLmpwZWc.jpeg
6614615,Never Stop,Laurent Maldo,2015,Electronic,Techno,N/A,France,Astropolis Records,"12"", EP, Limited Edition",4.0,67,20,https://www.discogs.com/release/6614615-Laurent-Maldo-Jules-Wells-Never-Stop,https://i.discogs.com/zMFQgYqikTaFyjaineTBt3lomLxaqBtfTN13HgDsfos/rs:fit/g:sm/q:90/h:600/w:599/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY2MTQ2/MTUtMTQ0Mjc1OTc0/Ni00ODE2LmpwZWc.jpeg
7141353,Madness,Oniris (2),2015,Electronic,"Techno, Tech House",N/A,France,Astropolis Records,"12"", EP",4.44,96,51,https://www.discogs.com/release/7141353-Oniris-2-Madness,https://i.discogs.com/rH3CfGTb61tdUVHoQ1XOInDKQFLdNC7gyuEWYK2fq1U/rs:fit/g:sm/q:90/h:330/w:330/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTcxNDEz/NTMtMTQzNDYzODU5/Ni04NDE2LmpwZWc.jpeg
8561573,Into The Woods,Madben,2016,Electronic,"Techno, Progressive House",2669504,France,Astropolis Records,"12""",4.22,74,35,https://www.discogs.com/release/8561573-Madben-Into-The-Woods,https://i.discogs.com/fZlLaMVo6Uu7Pgwp0La7Rt5v1kKUTq4_B5HvFkehr5k/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg1NjE1/NzMtMTQ2NDA4MzIx/MC03OTYyLmpwZWc.jpeg
10011574,Elektrik,Vince Watson,2017,Electronic,Techno,N/A,France,Astropolis Records,"12""",4.92,88,31,https://www.discogs.com/release/10011574-Vince-Watson-Elektrik,https://i.discogs.com/KZcbj3ToThmAB6bY_VcNL-98aKnBMTMQEU31FH0UeXo/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMDEx/NTc0LTE0OTAxMTE1/NDgtNTQ5Mi5qcGVn.jpeg
10383752,Misericordia ,W.LV.S,2017,Electronic,Techno,N/A,France,Astropolis Records,"12""",4.64,183,136,https://www.discogs.com/release/10383752-WLVS-Misericordia-,https://i.discogs.com/4ADdo1O23ZKPwU0f-KYCv4fnUw74Y_KncWQgsthODiY/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMzgz/NzUyLTE0OTYzOTU3/NjktMzc4MS5qcGVn.jpeg
11672545,Misericordia Remixes,W.LV.S,2018,Electronic,"Techno, Hardcore, Electro, Doomcore",N/A,France,Astropolis Records,"12"", EP",4.58,81,60,https://www.discogs.com/release/11672545-WLVS-Misericordia-Remixes,https://i.discogs.com/i-bRDyDX_taqeDhSWyW3xHhvd6O32j4ElrA7rTzwQJM/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTExNjcy/NTQ1LTE1MjA0MjA0/MDAtNjY1NC5qcGVn.jpeg
11778791,Fréquence(s),Madben,2018,Electronic,Techno,1356731,France,Astropolis Records,"LP, Album",4.44,134,77,https://www.discogs.com/release/11778791-Madben-Fréquences,https://i.discogs.com/vA_1TSbbWGOKIKglAjkRDpIclJY6g6xBor3uSlUf5ss/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTExNzc4/NzkxLTE1MjUxMjYy/MjQtNjg0Mi5qcGVn.jpeg
