id,artist,album,tracklist
20773192,Curtis Harding,If Words Were Flowers,"[<Track 'A1' 'If Words Were Flowers'>, <Track 'A2' 'Hopeful'>, <Track 'A3' ""Can't Hide It"">, <Track 'A4' 'With You'>, <Track 'A5' 'Explore'>, <Track 'B1' ""Where's The Love"">, <Track 'B2' 'The One'>, <Track 'B3' 'So Low'>, <Track 'B4' 'Forever More'>, <Track 'B5' ""It's A Wonder"">, <Track 'B6' ""I Won't Let You Down"">]"
1638442,The Beatles,1,"[<Track 'A1' 'Love Me Do'>, <Track 'A2' 'From Me To You'>, <Track 'A3' 'She Loves You'>, <Track 'A4' 'I Want To Hold Your Hand'>, <Track 'A5' ""Can't Buy Me Love"">, <Track 'A6' ""A Hard Day's Night"">, <Track 'A7' 'I Feel Fine'>, <Track 'A8' 'Eight Days A Week'>, <Track 'B1' 'Ticket To Ride'>, <Track 'B2' 'Help!'>, <Track 'B3' 'Yesterday'>, <Track 'B4' 'Day Tripper'>, <Track 'B5' 'We Can Work It Out'>, <Track 'B6' 'Paperback Writer'>, <Track 'B7' 'Yellow Submarine'>, <Track 'B8' 'Eleanor Rigby'>, <Track 'C1' 'Penny Lane'>, <Track 'C2' 'All You Need Is Love'>, <Track 'C3' 'Hello, Goodbye'>, <Track 'C4' 'Lady Madonna'>, <Track 'C5' 'Hey Jude'>, <Track 'D1' 'Get Back'>, <Track 'D2' 'The Ballad Of John And Yoko'>, <Track 'D3' 'Something'>, <Track 'D4' 'Come Together'>, <Track 'D5' 'Let It Be'>, <Track 'D6' 'The Long And Winding Road'>]"
1279085,Ray Charles,The Legend Lives...,"[<Track 'A1' 'Together Again'>, <Track 'A2' 'Yesterday'>, <Track 'A3' 'Born To Lose'>, <Track 'A4' ""Your Cheatin' Heart"">, <Track 'A5' ""You Don't Know Me"">, <Track 'A6' 'Eleanor Rigby'>, <Track 'A7' 'Take These Chains From My Heart'>, <Track 'A8' ""I Can't Stop Loving You"">, <Track 'A9' 'Georgia On My Mind'>, <Track 'B1' 'Crying Time'>, <Track 'B2' 'Hit The Road Jack'>, <Track 'B3' ""What I'd Say"">, <Track 'B4' 'Ruby'>, <Track 'B5' ""Baby, It's Cold Outside"">, <Track 'B6' ""Makin' Whoopee"">, <Track 'B7' 'Busted'>, <Track 'B8' ""Let's Go Get Stoned"">, <Track 'B9' 'Here We Go Again'>]"
4867103,Bérurier Noir,"""Abracadaboum!""","[<Track 'A1' 'Nuit Apache'>, <Track 'A2' 'Ibrahim'>, <Track 'A3' 'Vie De Singe'>, <Track 'A4' 'Tzigane Tzigane'>, <Track 'A5' ""L'Empereur Tomato-Ketchup"">, <Track 'B1' 'Casse-Tête Chinois'>, <Track 'B2' 'Jim-La-Jungle'>, <Track 'B3' 'S.O.S.'>, <Track 'B4' 'Descendons Dans La Rue'>, <Track 'B5' 'Et Hop'>]"
4116894,Various,Ghostbusters (Bande Sonore Originale Du Film),"[<Track 'A1' 'Ghostbusters'>, <Track 'A2' ""Cleanin' Up The Town"">, <Track 'A3' ""Savin' The Day"">, <Track 'A4' 'In The Name Of Love'>, <Track 'A5' 'I Can Wait Forever'>, <Track 'B1' 'Hot Night'>, <Track 'B2' 'Magic'>, <Track 'B3' 'Main Title Theme (Ghostbusters)'>, <Track 'B4' ""Dana's Theme"">, <Track 'B5' 'Ghostbusters (Instrumental Version)'>]"
2470454,Ray Parker Jr.,A Woman Needs Love,"[<Track 'A1' 'A Woman Needs Love (Just Like You Do)'>, <Track 'A2' ""It's Your Night"">, <Track 'A3' 'That Old Song'>, <Track 'A4' 'All In The Way You Get Down'>, <Track 'B1' ""You Can't Fight What You Feel"">, <Track 'B2' 'Old Pro'>, <Track 'B3' 'Still In The Groove'>, <Track 'B4' 'So Into You'>]"
729517,Patti Smith Group,Wave,"[<Track 'A1' 'Frederick'>, <Track 'A2' 'Dancing Barefoot'>, <Track 'A3' 'So You Want To Be (A Rock ’n’ Roll Star)'>, <Track 'A4' 'Hymn'>, <Track 'A5' 'Revenge'>, <Track 'B1' 'Citizen Ship'>, <Track 'B2' 'Seven Ways Of Going'>, <Track 'B3' 'Broken Flag'>, <Track 'B4' 'Wave'>]"
10089154,OutKast,Speakerboxxx / The Love Below,"[<Track '' 'Speakerboxxx'>, <Track 'A1' 'Intro'>, <Track 'A2' 'GhettoMusick'>, <Track 'A3' 'Unhappy'>, <Track 'A4' 'Bowtie'>, <Track 'A5' 'The Way You Move'>, <Track 'B1' 'The Rooster'>, <Track 'B2' 'Bust'>, <Track 'B3' 'War'>, <Track 'B4' 'Church'>, <Track 'C1' 'Bamboo (Interlude)'>, <Track 'C2' 'Tomb Of The Boom'>, <Track 'C3' 'E-Mac (Interlude)'>, <Track 'C4' 'Knowing'>, <Track 'C5' 'Flip Flop Rock'>, <Track 'D1' 'Interlude'>, <Track 'D2' 'Reset'>, <Track 'D3' 'D-Boi (Interlude)'>, <Track 'D4' 'Last Call'>, <Track 'D5' 'Bowtie (Postlude)'>, <Track '' 'The Love Below'>, <Track 'E1' 'The Love Below (Intro)'>, <Track 'E2' 'Love Hater'>, <Track 'E3' 'God (Interlude)'>, <Track 'E4' ""Happy Valentine's Day"">, <Track 'E5' 'Spread'>, <Track 'E6' 'Where Are My Panties?'>, <Track 'F1' 'Prototype'>, <Track 'F2' 'She Lives In My Lap'>, <Track 'F3' 'Hey Ya!'>, <Track 'F4' 'Roses'>, <Track 'G1' 'Good Day, Good Sir'>, <Track 'G2' 'Behold A Lady'>, <Track 'G3' 'Pink & Blue'>, <Track 'G4' 'Love In War'>, <Track 'G5' ""She's Alive"">, <Track 'H1' ""Dracula's Wedding"">, <Track 'H2' 'My Favorite Things'>, <Track 'H3' 'Take Off Your Cool'>, <Track 'H4' 'Vibrate'>, <Track 'H5' 'A Life In The Day Of Benjamin André (Incomplete)'>]"
23122910,Deas,System Theory EP,"[<Track 'A1' 'Isolation'>, <Track 'A2' 'Abroad'>, <Track 'B1' 'Function 7 '>, <Track 'B2' 'Sytem Theory'>]"
785034,Assassin,Perles Rares (1989-2002),"[<Track 'A1' 'La Formule Secrète'>, <Track 'A2' 'La Peur Du Métissage'>, <Track 'A3' ""A Qui L'Histoire? (Hardcore Remix)"">, <Track 'A4' ""L'Histoire Suit Son Cours"">, <Track 'B1' 'Shoota Babylone (Remix)'>, <Track 'B2' 'Clef De Sous-Sol'>, <Track 'B3' 'Paris Zoo'>, <Track 'C1' 'Le Témoin'>, <Track 'C2' 'Ou Va Se Diriger Ton Stylo?'>, <Track 'C3' 'Undaground Connexion'>, <Track 'C4' 'Wake Up! (Réveillez-Vous!)'>, <Track 'D1' ""L'Ile De L'Inconscient"">, <Track 'D2' 'Autre Dimension'>, <Track 'D3' ""Plus D'Amour"">, <Track 'D4' 'Straight To The Top'>]"
5168053,Oniris,Let Us Fight,"[<Track 'A' 'Let Us Fight'>, <Track 'B' 'Better Days'>]"
4916093,Oniris,Hope & Despair,"[<Track 'A2' 'Hope & Despair'>, <Track 'B2' 'Better Days (Electric Rescue Remix)'>]"
5385037,The Driver,The Wolves,"[<Track 'A1' 'Wolves (Aubervilliers Mix) '>, <Track 'A2' 'Wolves (Chord Mix) '>, <Track 'B1' 'La Crypte (Original Mix)'>, <Track 'B2' 'Wolves (Traumer Vision)'>]"
6614615,Laurent Maldo,Never Stop,"[<Track 'A1' 'Never Stop'>, <Track 'A2' 'The Lighthouse'>, <Track 'B1' 'Run'>, <Track 'B2' 'The Lighthouse (Madben Remix)'>]"
